Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
33A,0,968,0,3914,0,0,0.8017206063088897,0,0.8017206063088897,0,0,10
33A-33F,0,945,0,4045,0,0,0.8106212424849699,0,0.8106212424849699,0,0,10
33B,4,950,0,4013,4,1,0.8085835180334475,0.0041928721174004195,0.8087376686128448,0.008350730688935281,0.06679764243614932,10
33C,0,931,0,3970,0,0,0.8100387675984493,0,0.8100387675984493,0,0,10
33D,8,972,0,3903,8,1,0.8006153846153846,0.00816326530612245,0.8009420438255171,0.016194331983805668,0.12274368231046931,10
33E,0,871,0,4046,0,0,0.8228594671547692,0,0.8228594671547692,0,0,10
33F,44,805,9,3992,53,0.8301886792452831,0.8321867834062956,0.05182567726737338,0.8321649484536082,0.09756097560975609,0.44077784325279906,10
33G,0,959,0,3992,0,0,0.8063017572207635,0,0.8063017572207635,0,0,10
34,22,937,0,3959,22,1,0.8086192810457516,0.022940563086548488,0.8094753965026433,0.04485219164118247,0.2852784134248665,10
35A,2,903,0,3989,2,1,0.8154129190515127,0.0022099447513812156,0.8154883530854107,0.004410143329658214,0.03628601921024546,10
35B,54,915,26,3992,80,0.675,0.8135316894232729,0.05572755417956656,0.8113094044515741,0.10295519542421352,0.4081814139617608,10
35B-35D,0,992,0,3939,0,0,0.7988237679983776,0,0.7988237679983776,0,0,10
35C,0,853,0,4119,0,0,0.8284392598551891,0,0.8284392598551891,0,0,10
35D,0,1009,4,3954,4,0,0.7966955470481564,0,0.7960539561103281,0,0,10
35F,8,803,0,4137,8,1,0.8374493927125506,0.009864364981504316,0.837712206952304,0.01953601953601954,0.1448349307774228,10
36,1,997,0,3972,1,1,0.7993560072449185,0.001002004008016032,0.7993963782696177,0.0020020020020020016,0.016765285996055226,10
37,3,874,0,4104,3,1,0.8244274809160306,0.0034207525655644243,0.8245332262597872,0.006818181818181818,0.055135135135135134,10
38,23,923,2,3943,25,0.92,0.8103164817098233,0.024312896405919663,0.8108771212430995,0.04737384140061792,0.2904903417533432,10
39,1,894,0,4009,1,1,0.8176626555170304,0.0011173184357541898,0.817699836867863,0.002232142857142857,0.018660812294182216,10
39X,0,941,0,3950,0,0,0.8076058065835208,0,0.8076058065835208,0,0,10
4,52,841,1,4129,53,0.9811320754716981,0.830784708249497,0.05823068309070549,0.8323710929723273,0.10993657505285412,0.507754164273406,10
40,0,870,0,4010,0,0,0.8217213114754098,0,0.8217213114754098,0,0,10
41F,0,881,0,4068,0,0,0.8219842392402505,0,0.8219842392402505,0,0,10
42,0,847,0,3990,0,0,0.8248914616497829,0,0.8248914616497829,0,0,10
45,1,915,0,3863,1,1,0.8084972791963164,0.001091703056768559,0.8085373509102323,0.0021810250817884407,0.018240343347639482,10
46,3,875,1,4052,4,0.75,0.8224071443068804,0.003416856492027335,0.8223484080308254,0.006802721088435374,0.054140127388535034,10
48,2,1030,0,4042,2,1,0.7969242902208202,0.001937984496124031,0.7970043358297202,0.0038684719535783366,0.03195488721804511,10
5,41,911,0,3872,41,1,0.809533765419193,0.0430672268907563,0.8111525704809287,0.08257804632426988,0.43345771144278605,10
6A,117,847,4,4002,121,0.9669421487603306,0.8253248092390184,0.12136929460580913,0.8287726358148894,0.21566820276497697,0.6858620689655173,10
6B,72,912,48,3895,120,0.6,0.8102766798418972,0.07317073170731707,0.8051552668966917,0.13043478260869565,0.42148760330578516,10
6C,42,884,2,4003,44,0.9545454545454546,0.8191119296091672,0.04535637149028078,0.8203204218211316,0.0865979381443299,0.43803680981595094,10
6D,2,856,0,3998,2,1,0.8236505974454058,0.002331002331002331,0.8237232289950577,0.004651162790697674,0.03820224719101123,10
6E,0,899,2,4097,2,0,0.8200560448358687,0,0.8197278911564626,0,0,10
7B,5,858,0,3964,5,1,0.8220655329738698,0.005793742757821553,0.8222498446239901,0.01152073732718894,0.09013785790031814,10
7C,35,913,1,4095,36,0.9722222222222222,0.8176916932907349,0.03691983122362869,0.8187946074544012,0.07113821138211383,0.3904199475065617,10
7F,33,891,0,3941,33,1,0.8156043046357616,0.03571428571428571,0.8168550873586845,0.0689655172413793,0.38636363636363635,10
8,289,830,0,3614,289,1,0.8132313231323133,0.258266309204647,0.8246355377139235,0.4105113636363636,0.8554762319345289,10
9A,0,906,0,4016,0,0,0.8159284843559529,0,0.8159284843559529,0,0,10
9L,8,980,3,3961,11,0.7272727272727273,0.8016595830803481,0.008097165991902834,0.8014943457189014,0.016016016016016016,0.11683848797250859,10
9N,72,882,60,3860,132,0.5454545454545454,0.8140025305778152,0.07547169811320754,0.8067295855560115,0.13259668508287292,0.3992172211350294,10
9V,38,938,10,3981,48,0.7916666666666666,0.809310835535678,0.0389344262295082,0.8091403261526072,0.07421875,0.3704128440366972,10
