nn_serotype,auc,threshold,sensitivity,specificity
1,0.9941647820867077,0.030614167,1,0.9855934332858698
20,0.6962577962577963,1.0758638500000001e-5,0.9230769230769231,0.5027027027027027
13,0.9802794857462173,0.051581263,1,0.9319452207937395
23A,0.9069495068328802,9.18954615e-4,0.9354838709677419,0.8342559426896776
22A,0.9892211404728792,0.11318328999999999,1,0.9791376912378303
33F,0.9351141235640268,0.0027987659,0.9565217391304348,0.8776864728192162
6E,0.6647700331910896,6.76423315e-4,0.47619047619047616,0.9231863442389758
6D,0.8990564433866016,0.06604895,0.8235294117647058,0.9277456647398844
10X,0.6823529411764705,0.21431255500000002,0.9411764705882353,0.6909090909090909
20B,0.9296159086020428,0.0020491182999999996,0.9069767441860465,0.8805755395683453
18A,0.9490801576872554,0.13279891,1,0.9086727989487516
18B,0.8861566484517303,0.0202435555,0.8484848484848485,0.8579234972677595
20A,0.7196291560102366,5.9366226e-5,0.7916666666666666,0.6304347826086957
18F,0.926666666666667,0.2770659,1,0.83
2,0.980288983546312,0.177431615,1,0.9619978284473398
28A,0.718793137448245,0.0032998323500000003,1,0.4631236442516269
24A,0.9338296112489659,0.110634625,1,0.8858560794044665
33G,0.9285714285714286,0.165533575,1,0.9285714285714286
39,0.9917417417417418,0.24424636500000002,1,0.984984984984985
7B,0.9225165562913898,0.029119610499999997,1,0.8896247240618101
20C,0.9204545454545454,1.488626e-4,1,0.9090909090909091
12A,0.08333333333333333,0.06677317499999999,1,0.08333333333333333
33,0.8475482023000306,2.40802765e-5,0.8260869565217391,0.8131760078662733
27,0.9546944283786373,0.092393785,1,0.921727395411606
36,0,-Inf,1,0
36,0,Inf,0,1
38,0.7105855508618649,0.00177779795,0.6190476190476191,0.8653140513706022
10F,0.9860103626943001,0.11699211500000001,0.9444444444444444,0.9533678756476683
33C,0,-Inf,1,0
33C,0,Inf,0,1
33A/33F,1,3.1659007e-4,1,1
37,0.8647234678624816,0.00180345775,1,0.85949177877429
42,0,-Inf,1,0
42,0,Inf,0,1
35D,0.7474891577265437,0.00871795425,0.6153846153846154,0.8635014836795252
9L,0.7234948096885742,9.6166135e-4,1,0.5329411764705883
25F,0.9043391650788157,0.0012615025,1,0.6792828685258964
25A,0.6479910714285713,5.206465729e-5,0.4375,0.85
40,0.9157303370786519,0.014865815813934998,1,0.898876404494382
9A,1,0.061265052715000004,1,1
