benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,f1
GPS_benchmark,serotype_exact,PneumoCaT,18F,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,19A,65,0,68,3735,133,0.48872180451127817,1,1,0.6565656565656565
GPS_benchmark,serotype_exact,PneumoCaT,19B,3,0,3,3862,6,0.5,1,1,0.6666666666666666
GPS_benchmark,serotype_exact,PneumoCaT,19F,214,0,16,3638,230,0.9304347826086956,1,1,0.9639639639639639
GPS_benchmark,serotype_exact,PneumoCaT,2,1,0,0,3867,1,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,20,2,42,0,3824,2,1,0.9891360579410243,0.045454545454545456,0.08695652173913045
GPS_benchmark,serotype_exact,PneumoCaT,20A,0,0,11,3857,11,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,20B,0,0,33,3835,33,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,21,40,0,4,3824,44,0.9090909090909091,1,1,0.9523809523809523
GPS_benchmark,serotype_exact,PneumoCaT,22A,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,22F,227,0,3,3638,230,0.9869565217391304,1,1,0.9934354485776805
GPS_benchmark,serotype_exact,PneumoCaT,23A,11,0,4,3853,15,0.7333333333333333,1,1,0.846153846153846
GPS_benchmark,serotype_exact,PneumoCaT,23B,29,0,12,3827,41,0.7073170731707317,1,1,0.8285714285714285
GPS_benchmark,serotype_exact,PneumoCaT,23F,74,1,8,3785,82,0.9024390243902439,0.9997358689910195,0.9866666666666667,0.9426751592356688
GPS_benchmark,serotype_exact,PneumoCaT,24,0,0,16,3852,16,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,24A,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,24F,0,1,5,3862,5,0,0.9997411338338079,0,NA
GPS_benchmark,serotype_exact,PneumoCaT,25F,0,0,7,3861,7,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,27,3,0,0,3865,3,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,28A,0,2,7,3859,7,0,0.9994819994819995,0,NA
GPS_benchmark,serotype_exact,PneumoCaT,28F,4,7,2,3855,6,0.6666666666666666,0.9981874676333506,0.36363636363636365,0.4705882352941177
GPS_benchmark,serotype_exact,PneumoCaT,29,3,0,2,3863,5,0.6,1,1,0.7499999999999999
GPS_benchmark,serotype_exact,PneumoCaT,3,5,0,0,3863,5,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,31,16,0,0,3852,16,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,33,0,0,9,3859,9,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,33B,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,33D,9,0,0,3859,9,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,33F,73,9,5,3781,78,0.9358974358974359,0.9976253298153034,0.8902439024390244,0.9125
GPS_benchmark,serotype_exact,PneumoCaT,34,48,0,4,3816,52,0.9230769230769231,1,1,0.9600000000000001
GPS_benchmark,serotype_exact,PneumoCaT,35B,65,2,1,3800,66,0.9848484848484849,0.9994739610731194,0.9701492537313433,0.9774436090225564
GPS_benchmark,serotype_exact,PneumoCaT,35C,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,35D,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,35F,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,37,3,0,1,3864,4,0.75,1,1,0.8571428571428571
GPS_benchmark,serotype_exact,PneumoCaT,38,61,0,0,3807,61,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,39,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,4,93,0,3,3772,96,0.96875,1,1,0.9841269841269841
GPS_benchmark,serotype_exact,PneumoCaT,40,0,1,1,3866,1,0,0.99974140160331,0,NA
GPS_benchmark,serotype_exact,PneumoCaT,45,3,0,0,3865,3,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,46,0,0,9,3859,9,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,48,2,0,0,3866,2,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,5,121,0,3,3744,124,0.9758064516129032,1,1,0.9877551020408163
GPS_benchmark,serotype_exact,PneumoCaT,6A,79,13,29,3747,108,0.7314814814814815,0.9965425531914893,0.8586956521739131,0.7900000000000001
GPS_benchmark,serotype_exact,PneumoCaT,6B,0,13,125,3730,125,0,0.9965268501202245,0,NA
GPS_benchmark,serotype_exact,PneumoCaT,6C,7,0,42,3819,49,0.14285714285714285,1,1,0.25
GPS_benchmark,serotype_exact,PneumoCaT,6D,4,41,0,3823,4,1,0.9893892339544513,0.08888888888888889,0.163265306122449
GPS_benchmark,serotype_exact,PneumoCaT,6E,2,101,0,3765,2,1,0.9738748060010347,0.019417475728155338,0.03809523809523809
GPS_benchmark,serotype_exact,PneumoCaT,7B,1,1,1,3865,2,0.5,0.9997413347128815,0.5,0.5
GPS_benchmark,serotype_exact,PneumoCaT,7C,58,0,5,3805,63,0.9206349206349206,1,1,0.9586776859504132
GPS_benchmark,serotype_exact,PneumoCaT,7F,8,0,58,3802,66,0.12121212121212122,1,1,0.21621621621621626
GPS_benchmark,serotype_exact,PneumoCaT,8,438,0,12,3418,450,0.9733333333333334,1,1,0.9864864864864865
GPS_benchmark,serotype_exact,PneumoCaT,9L,9,0,2,3857,11,0.8181818181818182,1,1,0.9
GPS_benchmark,serotype_exact,PneumoCaT,9N,124,2,3,3739,127,0.9763779527559056,0.9994653835872761,0.9841269841269841,0.9802371541501976
GPS_benchmark,serotype_exact,PneumoCaT,9V,66,0,4,3798,70,0.9428571428571428,1,1,0.9705882352941176
GPS_benchmark,serotype_exact,PneumoKITy,1,230,0,0,3638,230,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,10A,130,0,0,3738,130,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,10B,12,0,0,3856,12,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,10F,5,0,0,3863,5,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,11,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,11A,0,0,44,3824,44,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,11B,0,0,4,3864,4,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,11C,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,11E,0,0,4,3864,4,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,12F,262,0,2,3604,264,0.9924242424242424,1,1,0.9961977186311787
GPS_benchmark,serotype_exact,PneumoKITy,13,40,0,0,3828,40,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,14,316,0,4,3548,320,0.9875,1,1,0.9937106918238994
GPS_benchmark,serotype_exact,PneumoKITy,15A,0,0,81,3787,81,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,15B,0,0,22,3846,22,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,15C,0,0,11,3857,11,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,15F,2,0,0,3866,2,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,16F,46,0,34,3788,80,0.575,1,1,0.7301587301587301
GPS_benchmark,serotype_exact,PneumoKITy,17F,62,0,0,3806,62,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,18A,9,0,0,3859,9,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,18B,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,18C,0,0,35,3833,35,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,18F,2,0,0,3866,2,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,19A,128,0,5,3735,133,0.9624060150375939,1,1,0.9808429118773946
GPS_benchmark,serotype_exact,PneumoKITy,19B,6,0,0,3862,6,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,19F,225,0,5,3638,230,0.9782608695652174,1,1,0.989010989010989
GPS_benchmark,serotype_exact,PneumoKITy,2,1,0,0,3867,1,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,20,2,44,0,3822,2,1,0.9886187273667874,0.043478260869565216,0.08333333333333333
GPS_benchmark,serotype_exact,PneumoKITy,20A,0,0,11,3857,11,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,20B,0,0,33,3835,33,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,21,44,0,0,3824,44,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,22A,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,22F,230,0,0,3638,230,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,23A,15,0,0,3853,15,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,23B,40,0,1,3827,41,0.975609756097561,1,1,0.9876543209876543
GPS_benchmark,serotype_exact,PneumoKITy,23F,82,1,0,3785,82,1,0.9997358689910195,0.9879518072289156,0.993939393939394
GPS_benchmark,serotype_exact,PneumoKITy,24,0,0,16,3852,16,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,24A,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,24F,0,0,5,3863,5,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,25F,0,0,7,3861,7,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,27,3,0,0,3865,3,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,28A,0,0,7,3861,7,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,28F,0,0,6,3862,6,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,29,4,0,1,3863,5,0.8,1,1,0.888888888888889
GPS_benchmark,serotype_exact,PneumoKITy,3,0,0,5,3863,5,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,31,16,0,0,3852,16,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,33,0,0,9,3859,9,0,1,NA,NA
