Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
19A,225,508,9,3854,234,0.9615384615384616,0.8835396607060981,0.3069577080491132,0.8875108790252393,0.46535677352637017,0.8543667634576725,500
19B,3,586,0,3911,3,1,0.8696909050478097,0.0050933786078098476,0.8697777777777778,0.010135135135135136,0.08006279434850863,500
19F,84,982,7,3320,91,0.9230769230769231,0.7717340771734077,0.07879924953095685,0.774869109947644,0.14520311149524634,0.5662172878667724,500
2,0,833,3,3846,3,0,0.8219705065184869,0,0.8214438274241777,0,0,500
20,2,977,0,3606,2,1,0.7868208596988872,0.0020429009193054137,0.7869138495092693,0.004077471967380224,0.03363006923837785,500
20A,2,610,0,3982,2,1,0.8671602787456446,0.0032679738562091504,0.8672181105790161,0.006514657980456026,0.052795031055900624,500
20B,5,596,2,4092,7,0.7142857142857143,0.8728668941979523,0.008319467554076539,0.8726304579339723,0.01644736842105263,0.11921458625525946,500
20C,0,828,0,3727,0,0,0.8182217343578485,0,0.8182217343578485,0,0,500
21,25,583,2,4038,27,0.9259259259259259,0.873836831854577,0.04111842105263158,0.8741394148020654,0.07874015748031496,0.4086538461538461,500
22A,0,616,1,3983,1,0,0.8660578386605784,0,0.8658695652173913,0,0,500
22F,122,826,5,3464,127,0.9606299212598425,0.8074592074592074,0.12869198312236288,0.8118632556033507,0.22697674418604652,0.695973154362416,500
23A,44,591,12,3904,56,0.7857142857142857,0.8685205784204671,0.06929133858267716,0.8675016479894528,0.12735166425470335,0.488569562377531,500
23B,61,637,15,3774,76,0.8026315789473685,0.8555883019723419,0.08739255014326648,0.8546913305103633,0.15762273901808788,0.5417972831765936,500
23F,88,809,17,3686,105,0.8380952380952381,0.8200222469410456,0.09810479375696766,0.8204347826086956,0.17564870259481036,0.5805199844780753,500
24,0,771,0,3822,0,0,0.8321358589157414,0,0.8321358589157414,0,0,500
24A,0,647,1,3862,1,0,0.8565092038145931,0,0.8563192904656319,0,0,500
24F,2,629,0,3856,2,1,0.8597547380156075,0.003169572107765452,0.8598172498328505,0.006319115323854661,0.05128205128205129,500
25A,0,863,0,3802,0,0,0.815005359056806,0,0.815005359056806,0,0,500
25F,5,890,2,3717,7,0.7142857142857143,0.8068157152159757,0.00558659217877095,0.8066753359341136,0.011086474501108647,0.08440913604766632,500
27,1,939,0,3618,1,1,0.793943383805135,0.0010638297872340426,0.7939885914874946,0.0021253985122210413,0.01778242677824268,500
28A,3,621,0,3975,3,1,0.8648825065274152,0.004807692307692308,0.8649706457925636,0.009569377990430623,0.07589285714285715,500
28F,0,680,0,3864,0,0,0.8503521126760564,0,0.8503521126760564,0,0,500
29,0,750,1,3907,1,0,0.8389521150955551,0,0.8387720051524259,0,0,500
3,37,838,0,3450,37,1,0.804570895522388,0.04228571428571429,0.806242774566474,0.08114035087719298,0.4287661895023858,500
31,8,995,6,3612,14,0.5714285714285714,0.7840243108313436,0.007976071784646061,0.7833802207314434,0.01573254670599803,0.11083944580277098,500
32,0,668,0,3808,0,0,0.8507596067917784,0,0.8507596067917784,0,0,500
32F,0,629,0,3984,0,0,0.8636462172122263,0,0.8636462172122263,0,0,500
33,0,596,0,3945,0,0,0.8687513763488218,0,0.8687513763488218,0,0,500
33A,0,740,0,3842,0,0,0.8384984722828459,0,0.8384984722828459,0,0,500
33A-33F,0,598,0,4026,0,0,0.870674740484429,0,0.870674740484429,0,0,500
33B,1,531,0,4154,1,1,0.8866595517609391,0.0018796992481203006,0.8866837387964148,0.00375234521575985,0.031021897810218975,500
33C,0,1019,0,3542,0,0,0.7765840824380619,0,0.7765840824380619,0,0,500
33D,4,628,3,3996,7,0.5714285714285714,0.8641868512110726,0.006329113924050633,0.8637443316778234,0.012519561815336464,0.0913978494623656,500
33E,0,690,0,3943,0,0,0.8510684221886466,0,0.8510684221886466,0,0,500
33F,8,998,0,3427,8,1,0.7744632768361582,0.007952286282306162,0.7748702909993233,0.015779092702169623,0.11992945326278656,500
33G,0,704,0,3883,0,0,0.8465227817745803,0,0.8465227817745803,0,0,500
