benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1
GPS benchmark,serotype_exact,ALLCAPS,7F,65,1,1,3776,66,0.9848484848484849,0.9997352396081546,0.9848484848484849,0.9994795732500651,0.9848484848484849
GPS benchmark,serotype_exact,ALLCAPS,8,447,4,3,3389,450,0.9933333333333333,0.9988211022693781,0.991130820399113,0.9981785063752276,0.9922308546059933
GPS benchmark,serotype_exact,ALLCAPS,9L,9,1,2,3831,11,0.8181818181818182,0.9997390396659708,0.9,0.9992193598750976,0.8571428571428572
GPS benchmark,serotype_exact,ALLCAPS,9N,125,0,2,3716,127,0.984251968503937,1,1,0.9994795732500651,0.9920634920634921
GPS benchmark,serotype_exact,ALLCAPS,9V,65,12,5,3761,70,0.9285714285714286,0.9968195070235887,0.8441558441558441,0.995576372625553,0.8843537414965986
GPS benchmark,serotype_exact,ProkBERT,1,218,7,12,3606,230,0.9478260869565217,0.9980625518959314,0.9688888888888889,0.995055945875618,0.9582417582417583
GPS benchmark,serotype_exact,ProkBERT,10A,121,43,9,3670,130,0.9307692307692308,0.9884190681389712,0.7378048780487805,0.9864689045016913,0.8231292517006803
GPS benchmark,serotype_exact,ProkBERT,10B,12,18,0,3813,12,1,0.995301487862177,0.4,0.9953161592505855,0.5714285714285715
GPS benchmark,serotype_exact,ProkBERT,10F,4,17,1,3821,5,0.8,0.9955706096925482,0.19047619047619047,0.9953161592505855,0.3076923076923077
GPS benchmark,serotype_exact,ProkBERT,11,0,19,2,3822,2,0,0.9950533715178339,0,0.994535519125683,0
GPS benchmark,serotype_exact,ProkBERT,11A,17,1,27,3798,44,0.38636363636363635,0.9997367728349565,0.9444444444444444,0.9927140255009107,0.5483870967741935
GPS benchmark,serotype_exact,ProkBERT,11B,3,3,1,3836,4,0.75,0.9992185464964835,0.5,0.9989591465001301,0.6
GPS benchmark,serotype_exact,ProkBERT,11C,1,25,0,3817,1,1,0.9934929724102031,0.038461538461538464,0.9934946656258131,0.07407407407407407
GPS benchmark,serotype_exact,ProkBERT,11E,0,4,4,3835,4,0,0.9989580619953112,0,0.9979182930002602,0
GPS benchmark,serotype_exact,ProkBERT,12F,215,6,49,3573,264,0.8143939393939394,0.9983235540653814,0.9728506787330317,0.9856882643767889,0.8865979381443299
GPS benchmark,serotype_exact,ProkBERT,13,36,2,4,3801,40,0.9,0.9994740993952143,0.9473684210526315,0.9984387197501952,0.9230769230769231
GPS benchmark,serotype_exact,ProkBERT,14,229,2,91,3521,320,0.715625,0.9994323020153278,0.9913419913419913,0.975800156128025,0.8312159709618875
GPS benchmark,serotype_exact,ProkBERT,15A,49,30,32,3732,81,0.6049382716049383,0.9920255183413078,0.620253164556962,0.9838667707520167,0.6125
GPS benchmark,serotype_exact,ProkBERT,15B,11,11,11,3810,22,0.5,0.9971211724679403,0.5,0.9942753057507155,0.5
GPS benchmark,serotype_exact,ProkBERT,15C,3,17,8,3815,11,0.2727272727272727,0.9955636743215032,0.15,0.9934946656258131,0.19354838709677416
GPS benchmark,serotype_exact,ProkBERT,15F,2,5,0,3836,2,1,0.9986982556625879,0.2857142857142857,0.9986989331251627,0.4444444444444445
GPS benchmark,serotype_exact,ProkBERT,16F,36,10,44,3753,80,0.45,0.9973425458410843,0.782608695652174,0.9859484777517564,0.5714285714285714
GPS benchmark,serotype_exact,ProkBERT,17F,56,7,6,3774,62,0.9032258064516129,0.9981486379264745,0.8888888888888888,0.9966172261254228,0.8959999999999999
GPS benchmark,serotype_exact,ProkBERT,18A,7,7,2,3827,9,0.7777777777777778,0.9981742305685968,0.5,0.9976580796252927,0.6086956521739131
GPS benchmark,serotype_exact,ProkBERT,18B,0,11,2,3830,2,0,0.9971361624576933,0,0.9966172261254228,0
GPS benchmark,serotype_exact,ProkBERT,18C,8,4,27,3804,35,0.22857142857142856,0.9989495798319328,0.6666666666666666,0.9919333853760083,0.3404255319148936
GPS benchmark,serotype_exact,ProkBERT,18F,2,7,0,3834,2,1,0.998177557927623,0.2222222222222222,0.9981785063752276,0.3636363636363636
GPS benchmark,serotype_exact,ProkBERT,19A,53,6,80,3704,133,0.39849624060150374,0.9983827493261456,0.8983050847457628,0.9776216497527973,0.5520833333333333
GPS benchmark,serotype_exact,ProkBERT,19B,2,10,4,3827,6,0.3333333333333333,0.997393797237425,0.16666666666666666,0.9963570127504554,0.2222222222222222
GPS benchmark,serotype_exact,ProkBERT,19F,129,15,101,3598,230,0.5608695652173913,0.9958483254912814,0.8958333333333334,0.9698152485037731,0.6898395721925134
GPS benchmark,serotype_exact,ProkBERT,2,0,0,1,3842,1,0,1,0,0.9997397866250325,0
GPS benchmark,serotype_exact,ProkBERT,20,0,5,2,3836,2,0,0.9986982556625879,0,0.9981785063752276,0
GPS benchmark,serotype_exact,ProkBERT,20A,6,11,5,3821,11,0.5454545454545454,0.9971294363256785,0.35294117647058826,0.9958365860005204,0.42857142857142855
GPS benchmark,serotype_exact,ProkBERT,20B,23,10,10,3800,33,0.696969696969697,0.9973753280839895,0.696969696969697,0.9947957325006506,0.696969696969697
GPS benchmark,serotype_exact,ProkBERT,21,33,14,11,3785,44,0.75,0.996314819689392,0.7021276595744681,0.9934946656258131,0.7252747252747254
GPS benchmark,serotype_exact,ProkBERT,22A,4,7,0,3832,4,1,0.9981766084917948,0.36363636363636365,0.9981785063752276,0.5333333333333333
GPS benchmark,serotype_exact,ProkBERT,22F,224,19,6,3594,230,0.9739130434782609,0.9947412122889565,0.9218106995884774,0.9934946656258131,0.9471458773784356
GPS benchmark,serotype_exact,ProkBERT,23A,8,3,7,3825,15,0.5333333333333333,0.9992163009404389,0.7272727272727273,0.9973978662503252,0.6153846153846153
GPS benchmark,serotype_exact,ProkBERT,23B,27,3,14,3799,41,0.6585365853658537,0.9992109416096792,0.9,0.995576372625553,0.7605633802816902
GPS benchmark,serotype_exact,ProkBERT,23F,57,7,25,3754,82,0.6951219512195121,0.9981387928742356,0.890625,0.9916731720010409,0.7808219178082191
GPS benchmark,serotype_exact,ProkBERT,24A,1,12,0,3830,1,1,0.9968766267568975,0.07692307692307693,0.9968774395003903,0.14285714285714288
GPS benchmark,serotype_exact,ProkBERT,24F,3,0,2,3838,5,0.6,1,1,0.9994795732500651,0.7499999999999999
GPS benchmark,serotype_exact,ProkBERT,25F,2,7,5,3829,7,0.2857142857142857,0.9981751824817519,0.2222222222222222,0.9968774395003903,0.25
GPS benchmark,serotype_exact,ProkBERT,27,3,0,0,3840,3,1,1,1,1,1
GPS benchmark,serotype_exact,ProkBERT,28A,6,39,1,3797,7,0.8571428571428571,0.9898331595411888,0.13333333333333333,0.989591465001301,0.23076923076923078
GPS benchmark,serotype_exact,ProkBERT,28F,4,16,2,3821,6,0.6666666666666666,0.9958300755798801,0.2,0.9953161592505855,0.30769230769230765
GPS benchmark,serotype_exact,ProkBERT,29,0,22,5,3816,5,0,0.9942678478374153,0,0.9929742388758782,0
GPS benchmark,serotype_exact,ProkBERT,3,0,5,5,3833,5,0,0.9986972381448671,0,0.9973978662503252,0
GPS benchmark,serotype_exact,ProkBERT,31,14,2,2,3825,16,0.875,0.9994773974392475,0.875,0.9989591465001301,0.875
