nn_serotype,auc,threshold,sensitivity,specificity,k
15C,0.9051114308660079,1.0724789124683001e-4,0.9395161290322581,0.7466804979253112,1
33D,0.9719683515741363,0.05660359518222091,0.9069767441860465,0.9567220438363814,1
28F,0.9205744795890659,3.77576218302805e-4,1,0.6989456609894567,1
31,0.9845042179365422,0.08345309627776976,0.9728682170542635,0.961335160532498,1
35A,0.9795461739906206,0.05108729188850324,1,0.967355175688509,1
7F,0.987561488710368,0.05220367603250975,0.9698795180722891,0.972392725611671,1
24,0.8175842044134717,5.052903547642096e-5,0.997289972899729,0.7164741641337387,1
34,0.9789647043027897,0.10511719815057902,0.9675467546754676,0.9641894353369763,1
24F,0.9943561437047244,0.011383346132485424,0.9935897435897436,0.977160283203958,1
25F,0.7527893846130874,4.5179253145510856e-5,1,0.5671249494541043,1
24A,0.8298892535252564,9.042795089286848e-5,0.9767441860465116,0.7275315168767792,1
9N,0.9866709048061996,0.0019420714847999052,1,0.9480208547712149,1
33F,0.9927652262209119,0.01977225436455054,0.9416531604538088,0.9611695188396899,1
33B,0.9235237266574557,0.05581361783701594,0.9695121951219512,0.8789794536012644,1
19B,0.9484609818077856,0.05748271261402287,1,0.8520009760858955,1
37,0.7869834788308963,0.00140277875618144,1,0.6985789080029918,1
11C,0.8580377323677287,0.20750952097734932,0.7239263803680982,0.9308270676691729,1
35F,0.9869640014752632,0.031014544060662834,1,0.9521750524109015,1
11E,0.8563692464894745,8.31492997207528e-5,0.9647302904564315,0.624920936116382,1
11A,0.9404489519348802,0.04045667052614077,0.8042959427207638,0.9348536747372397,1
11,0.7639098461769172,4.1307986642535877e-5,1,0.613625304136253,1
11D,0.9576213260423785,0.09413659412210396,1,0.9186602870813397,1
11B,0.9466442527029876,0.04965483771437912,0.9843912591050988,0.8833002426649018,1
20,0.8969302869736124,0.08151144513642428,0.6730038022813688,0.9543828264758497,1
9L,0.7929272311352357,7.32582578448265e-4,0.9990610328638497,0.707185906351414,1
15F,0.888666494490356,0.003176169239373745,0.9777777777777777,0.6911157024793388,1
8,0.9931555918271375,3.48065560823835e-4,1,0.9484119950709813,1
12A,0.7047106717068927,0.0013460776130640398,1,0.48987108655616945,1
39,0.9968156766687082,0.18695443103114212,1,0.9877934272300469,1
25A,0.8419137695978173,4.6009398501800636e-5,1,0.8166666666666667,1
28A,0.9417456088922653,0.002537233959535085,1,0.7711138310893513,1
1,0.9940340792615038,0.022651700706682813,1,0.9866846058752563,1
32F,0.5053763440860215,0.26350954365293755,0.8333333333333334,0.5161290322580645,1
35D,0.7432617865222262,2.816571174291127e-5,0.9861878453038674,0.4847743338771071,1
22A,0.9704234438854253,0.12706140686746797,0.9830508474576272,0.9148054755043228,1
33G,0.37154471544715434,0.23725995331751198,0.2,0.943089430894309,1
6E,0.742963743997671,3.3494188430127636e-5,0.770764119601329,0.6974464204286366,1
10F,0.9624306106264945,0.12365588771026705,0.9855769230769231,0.9054982817869416,1
33,0.9156348206101985,2.7152535813423917e-5,1,0.7513748854262144,1
7B,0.974398672400427,0.012077382485834615,0.9948979591836735,0.9374892667010132,1
10X,0.7598790627362055,0.20179843460633112,0.9809523809523809,0.638095238095238,1
18B,0.8751816553796644,0.00372881013773451,0.9355509355509356,0.7584158415841584,1
17A,0.9716568671792567,0.12775134179737663,0.9545454545454546,0.9552238805970149,1
41F,0.4988425925925926,0.20333475885177804,0.9583333333333334,0.5,1
42,0.3119524405506884,0.06641031824767651,0.8676470588235294,0.2978723404255319,1
27,0.970313701679821,0.08595370469001301,1,0.9285245901639344,1
20C,0.8709915676740322,1.4302835835983e-4,1,0.8672985781990521,1
36,0.9792263610315186,0.2322644687436241,1,0.9785100286532952,1
33C,0.9390804597701135,0.06845093271827618,1,0.8873563218390804,1
33A/33F,0.9970238095238095,4.0279301251611166e-5,1,0.9774436090225563,1
33A,0.5494227994228004,0.0010125250208282651,0.9545454545454546,0.4444444444444444,1
33E,0.9928571428571429,0.06171972656129565,1,0.9928571428571429,1
40,0.9508030542390725,0.02788433596030293,0.9861111111111112,0.9488151658767773,1
9A,0.9662739662739663,0.0030769832947498653,1,0.918918918918919,1
