Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
15A,18,611,1,4063,19,0.9473684210526315,0.86927685066324345,0.028616852146263912,0.869593010867249,0.05555555555555556,0.32797427652733124,50
15B,9,590,16,4240,25,0.36,0.8778467908902692,0.015025041736227046,0.8751802265705458,0.028846153846153848,0.15315315315315314,50
15B-C,0,599,0,4250,0,0,0.8764693751288926,0,0.8764693751288926,0,0,50
15C,2,639,10,4191,12,0.16666666666666666,0.8677018633540373,0.0031201248049922,0.865964477488641,0.0061255742725880545,0.04081632653061224,50
15F,0,652,3,4143,3,0,0.8640250260688217,0,0.8634847853272197,0,0,50
16F,44,600,11,4171,55,0.8,0.874240201215678,0.06832298136645963,0.873394115209283,0.12589413447782546,0.49081364829396323,50
17A,0,644,0,4319,0,0,0.8702397743300423,0,0.8702397743300423,0,0,50
17F,23,624,0,4007,23,1,0.8652558842582595,0.03554868624420402,0.8659217877094972,0.06865671641791045,0.38522167487684733,50
18A,6,654,0,4102,6,1,0.8624894869638352,0.00909090909090909,0.862662746745065,0.018018018018018018,0.1349206349206349,50
18B,1,649,0,4130,1,1,0.8641975308641975,0.0015384615384615385,0.8642259414225941,0.0030721966205837174,0.025525525525525523,50
18C,5,613,0,4082,5,1,0.8694355697550585,0.008090614886731391,0.8695744680851064,0.016051364365971106,0.12177650429799425,50
18F,1,653,0,4217,1,1,0.8659137577002053,0.0015290519877675841,0.8659412851570519,0.0030534351145038168,0.02537313432835821,50
19A,238,603,0,3991,238,1,0.868741837178929,0.28299643281807374,0.8752069536423841,0.44114921223354964,0.8702946870294687,50
19B,5,643,1,4102,6,0.8333333333333334,0.8644889357218124,0.007716049382716049,0.8644495895600927,0.01529051987767584,0.114247311827957,50
19F,94,570,6,3978,100,0.94,0.8746701846965699,0.14156626506024098,0.8760757314974182,0.24607329842931938,0.7058303886925794,50
2,4,597,0,4263,4,1,0.8771604938271605,0.0066555740432612314,0.8772615131578947,0.013223140495867768,0.10225563909774436,50
20,1,651,3,4239,4,0.25,0.8668711656441718,0.0015337423312883436,0.8663669799754802,0.003048780487804878,0.023743016759776536,50
20A,2,644,3,4173,5,0.4,0.8663068299771642,0.0030959752321981426,0.865823309829946,0.006144393241167435,0.046831955922865015,50
20B,18,659,2,4273,20,0.9,0.866382806163828,0.026587887740029542,0.8665185783521809,0.05164992826398852,0.3069207622868606,50
20C,0,660,0,4161,0,0,0.8630989421281892,0,0.8630989421281892,0,0,50
21,27,615,0,4305,27,1,0.875,0.04205607476635514,0.8756822316555488,0.08071748878923767,0.42737430167597756,50
22A,1,605,1,4199,2,0.5,0.8740632805995004,0.0016501650165016502,0.8739076154806492,0.0032894736842105266,0.02664576802507837,50
22F,153,707,1,3897,154,0.9935064935064936,0.8464378801042571,0.17790697674418604,0.8511979823455234,0.30177514792899407,0.7824909747292419,50
23A,45,628,10,4135,55,0.8181818181818182,0.8681503254251522,0.06686478454680535,0.867579908675799,0.12362637362637362,0.4925949774629749,50
23B,63,591,14,4044,77,0.8181818181818182,0.8724919093851132,0.0963302752293578,0.8716044142614601,0.17236662106703146,0.5678685047720042,50
23F,96,598,7,4143,103,0.9320388349514563,0.8738662729381987,0.138328530259366,0.8751032204789431,0.24090338770388964,0.6968403074295475,50
24,0,666,0,4206,0,0,0.8633004926108374,0,0.8633004926108374,0,0,50
24A,0,609,1,4132,1,0,0.8715460873233495,0,0.8713622943905525,0,0,50
24F,57,624,1,4146,58,0.9827586206896551,0.869182389937107,0.08370044052863436,0.8705468102734052,0.15426251691474963,0.6022374145431946,50
25A,0,696,0,4252,0,0,0.8593371059013742,0,0.8593371059013742,0,0,50
25F,1,662,6,4231,7,0.14285714285714285,0.864704680155324,0.0015082956259426848,0.8636734693877551,0.0029850746268656717,0.021935483870967745,50
27,2,691,0,4167,2,1,0.8577603952243722,0.002886002886002886,0.8578189300411523,0.0057553956834532375,0.04689655172413794,50
28A,4,598,0,4248,4,1,0.8765992571192737,0.006644518272425249,0.876701030927835,0.013201320132013201,0.1021021021021021,50
28F,6,634,0,4098,6,1,0.8660185967878276,0.009375,0.8661882650907556,0.018575851393188854,0.13858695652173914,50
29,4,644,0,4333,4,1,0.870604781997187,0.006172839506172839,0.8707086930335274,0.012269938650306747,0.09550561797752809,50
3,26,636,0,3928,26,1,0.8606485539000877,0.03927492447129909,0.8614379084967321,0.0755813953488372,0.4100185528756957,50
31,22,725,0,4076,22,1,0.8489897937929598,0.029451137884872823,0.8496786232635289,0.05721716514954486,0.3403093721565059,50
32,0,600,0,4091,0,0,0.8720955020251545,0,0.8720955020251545,0,0,50
32F,0,630,0,4262,0,0,0.8712183156173344,0,0.8712183156173344,0,0,50
33,0,633,0,4189,0,0,0.868726669431771,0,0.868726669431771,0,0,50
33A,0,659,0,4183,0,0,0.8638992152003304,0,0.8638992152003304,0,0,50
33A-33F,0,610,0,4288,0,0,0.8754593711719069,0,0.8754593711719069,0,0,50
33B,4,664,0,4236,4,1,0.8644897959183674,0.005988023952095809,0.8646003262642741,0.011904761904761906,0.09289617486338798,50
33C,0,662,0,4094,0,0,0.86080740117746,0,0.86080740117746,0,0,50
33D,4,671,1,4143,5,0.8,0.8606148732862484,0.005925925925925926,0.86055198173895,0.011764705882352941,0.09006622516556291,50
33E,0,664,0,4187,0,0,0.8631210059781488,0,0.8631210059781488,0,0,50
33F,12,669,1,4063,13,0.9230769230769231,0.8586221470836856,0.01762114537444934,0.8587987355110642,0.0345821325648415,0.22947131608548935,50
33G,0,685,0,4171,0,0,0.8589373970345964,0,0.8589373970345964,0,0,50
34,17,641,0,4206,17,1,0.8677532494326388,0.025835866261398176,0.8682154605263158,0.05037037037037037,0.310752688172043,50
35A,0,634,0,4203,0,0,0.8689270208807112,0,0.8689270208807112,0,0,50
35B,15,588,3,4259,18,0.8333333333333334,0.878687848153497,0.024875621890547265,0.8785200411099692,0.04830917874396136,0.2861952861952862,50
35B-35D,0,725,0,4137,0,0,0.8508844097079391,0,0.8508844097079391,0,0,50
35C,0,659,0,4239,0,0,0.8654552878726011,0,0.8654552878726011,0,0,50
35D,0,661,4,4215,4,0,0.8644380639868745,0,0.8637295081967213,0,0,50
35F,15,619,0,4265,15,1,0.8732596232596233,0.02365930599369085,0.8736476832006532,0.04622496147919876,0.2917620137299771,50
36,0,706,0,4192,0,0,0.8558595345038791,0,0.8558595345038791,0,0,50
37,1,663,1,4246,2,0.5,0.8649419433693216,0.0015060240963855422,0.8647933211158624,0.003003003003003003,0.024425287356321844,50
38,38,705,0,4114,38,1,0.8537040879850591,0.05114401076716016,0.8548486720197653,0.09731113956466068,0.4781643227239082,50
39,3,650,0,4198,3,1,0.865924092409241,0.004594180704441042,0.8660070088641517,0.009146341463414635,0.07275320970042796,50
39X,0,666,0,4193,0,0,0.8629347602387323,0,0.8629347602387323,0,0,50
4,53,662,0,4279,53,1,0.8660190244889698,0.07412587412587412,0.867440929114938,0.13802083333333334,0.5764555342290467,50
40,3,628,0,4157,3,1,0.8687565308254963,0.004754358161648178,0.8688387635756056,0.00946372239747634,0.07511045655375552,50
41F,0,674,0,4227,0,0,0.8624770455009182,0,0.8624770455009182,0,0,50
42,0,581,0,4204,0,0,0.8785788923719958,0,0.8785788923719958,0,0,50
45,1,578,0,4105,1,1,0.8765748451847106,0.0017271157167530224,0.876601195559351,0.003448275862068965,0.02857142857142857,50
46,2,655,1,4190,3,0.6666666666666666,0.8648090815273478,0.0030441400304414,0.8646864686468647,0.006060606060606061,0.04822695035460993,50
48,2,715,0,4294,2,1,0.8572569375124776,0.002789400278940028,0.8573139093993215,0.005563282336578582,0.04539385847797063,50
5,45,653,0,4044,45,1,0.8609750904832872,0.06446991404011461,0.8622943905525094,0.12113055181695827,0.5394922425952046,50
6A,117,613,4,4165,121,0.9669421487603306,0.8717036416910842,0.16027397260273973,0.8740559297815881,0.27497062279670975,0.7460615153788446,50
6B,112,648,20,4115,132,0.8484848484848485,0.8639512912030233,0.14736842105263157,0.8635342185903984,0.2511210762331838,0.6629526462395542,50
6C,33,641,14,4161,47,0.7021276595744681,0.8665139525197835,0.04896142433234421,0.8649206021860177,0.09153952843273233,0.3934081346423563,50
6D,3,587,0,4202,3,1,0.87742743787847155,0.005084745762711864,0.8775041736227045,0.01011804384485666,0.0799373040752351,50
6E,0,655,2,4282,2,0,0.8673283370467896,0,0.8669771208746709,0,0,50
7B,5,655,0,4130,5,1,0.8631138975966562,0.007575757575757576,0.8632567849686847,0.015037593984962407,0.11486486486486487,50
7C,35,661,1,4248,36,0.9722222222222222,0.8653493583214504,0.05028735632183908,0.8661274014155713,0.09562841530054646,0.46776729559748426,50
7F,19,668,1,4102,20,0.95,0.859958071278826,0.027656477438136828,0.8603340292275574,0.05374823196605375,0.32075471698113206,50
8,457,629,5,3740,462,0.9891774891774892,0.8560311284046692,0.4208103130755064,0.8687642310080729,0.590439276485788,0.9163717857985374,50
9A,0,626,0,4215,0,0,0.8706878744061144,0,0.8706878744061144,0,0,50
9L,11,687,0,4155,11,1,0.8581164807930607,0.015759312320916905,0.8584380795384299,0.0310296191819464,0.21395881006864992,50
9N,109,648,1,4027,110,0.990909090909091,0.8613903743315509,0.14398943196829592,0.864367816091954,0.25144175317185696,0.7361938816050855,50
9V,53,680,0,4196,53,1,0.8605414273995078,0.0723055934515689,0.8620409819435991,0.13486005089058525,0.5698924731182795,50
