Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
33B,2,523,2,4440,4,0.5,0.8946201894015716,0.0038095238095238095,0.8943023958123616,0.007561436672967864,0.05772495755517826,10
33C,0,512,0,4389,0,0,0.895531524178739,0,0.895531524178739,0,0,10
33D,8,502,0,4373,8,1,0.897025641025641,0.01568627450980392,0.8971943477370469,0.03088803088803089,0.21316614420062696,10
33E,0,453,0,4464,0,0,0.9078706528370958,0,0.9078706528370958,0,0,10
33F,53,448,0,4349,53,1,0.9066082968521992,0.10578842315369262,0.9076288659793814,0.1913357400722022,0.6679021497405485,10
33G,0,475,0,4476,0,0,0.904059785901838,0,0.904059785901838,0,0,10
34,22,475,0,4421,22,1,0.9029820261437909,0.04426559356136821,0.9034160227734852,0.08477842003853564,0.4405182567726737,10
35A,1,476,1,4416,2,0.5,0.902698282910875,0.0020964360587002098,0.9025337147527585,0.0041753653444676405,0.03339882121807466,10
35B,79,463,1,4444,80,0.9875,0.9056449969431425,0.14575645756457564,0.9069580910366954,0.2540192926045016,0.7371020856201976,10
35B-35D,0,494,0,4437,0,0,0.8998174812411276,0,0.8998174812411276,0,0,10
35C,0,468,0,4504,0,0,0.9058728881737731,0,0.9058728881737731,0,0,10
35D,0,496,4,4467,4,0,0.9000604473100947,0,0.899335615059392,0,0,10
35F,8,441,0,4499,8,1,0.9107287449392713,0.017817371937639197,0.9108730800323362,0.0350109409190372,0.23570190641247832,10
36,1,525,0,4444,1,1,0.8943449386194405,0.0019011406844106464,0.8943661971830986,0.0037950664136622387,0.03136531365313653,10
37,2,461,1,4517,3,0.6666666666666666,0.907392527119325,0.004319654427645789,0.9072475406544871,0.008583690987124463,0.0665362035225049,10
38,23,503,2,4363,25,0.92,0.896629675297986,0.043726235741444866,0.8967491310570436,0.08348457350272231,0.42224622030237574,10
39,1,487,0,4416,1,1,0.9006730573118499,0.0020491803278688526,0.9006933115823818,0.00408997955010225,0.033730158730158735,10
39X,0,515,0,4376,0,0,0.8947045593948068,0,0.8947045593948068,0,0,10
4,52,428,1,4542,53,0.9811320754716981,0.9138832997987928,0.10833333333333334,0.9145928727851881,0.1951219512195122,0.6656626506024097,10
40,0,468,0,4412,0,0,0.9040983606557377,0,0.9040983606557377,0,0,10
41F,0,464,0,4485,0,0,0.9062436855930491,0,0.9062436855930491,0,0,10
42,0,418,0,4419,0,0,0.913582799255737,0,0.913582799255737,0,0,10
45,1,436,0,4342,1,1,0.9087484303055672,0.002288329519450801,0.9087675245867336,0.0045662100456621,0.037527593818984545,10
46,3,456,1,4471,4,0.75,0.9074487517759285,0.006535947712418301,0.9073210302169945,0.012958963282937365,0.09751434034416825,10
48,2,521,0,4551,2,1,0.8972791798107256,0.0038240917782026767,0.8973196689002759,0.007619047619047619,0.06126126126126126,10
5,41,486,0,4297,41,1,0.898390131716496,0.0777988614800759,0.8992537313432836,0.1443661971830986,0.5891800507185122,10
6A,120,401,1,4448,121,0.9917355371900827,0.9173025366054857,0.23032629558541268,0.9191146881287726,0.3738317757009346,0.8302808302808302,10
6B,84,475,36,4332,120,0.7,0.9011857707509882,0.15026833631484796,0.8962857722752182,0.24742268041237114,0.5760387252924567,10
6C,44,426,0,4461,44,1,0.9128299570288521,0.09361702127659574,0.9136077874670452,0.17120622568093385,0.6371379897785349,10
6D,2,437,0,4417,2,1,0.9099711578079934,0.004555808656036446,0.91000823723229,0.009070294784580499,0.07218683651804671,10
6E,0,487,2,4509,2,0,0.9025220176140912,0,0.9021608643457383,0,0,10
7B,5,444,0,4378,5,1,0.9079220240564081,0.011135857461024499,0.9080174021131138,0.02202643171806167,0.16068052930056712,10
7C,35,450,1,4558,36,0.9722222222222222,0.9101437699680511,0.07216494845360824,0.9105868358445678,0.13435700575815734,0.5607917059377944,10
7F,33,471,0,4361,33,1,0.9025248344370861,0.06547619047619048,0.9031860226104831,0.1229050279329609,0.5436046511627908,10
8,286,430,3,4014,289,0.9896193771626297,0.9032403240324033,0.3994413407821229,0.9085146841326854,0.5691542288557213,0.9104868913857678,10
9A,0,454,0,4468,0,0,0.9077610727346607,0,0.9077610727346607,0,0,10
9L,11,469,0,4472,11,1,0.9050799433313095,0.022916666666666665,0.9052907915993538,0.04480651731160896,0.2850609756097561,10
9N,130,475,2,4267,132,0.9848484848484849,0.8998312948123155,0.21487603305785125,0.9021337710299548,0.35278154681139756,0.8133971291866029,10
9V,35,509,13,4410,48,0.7291666666666666,0.8965236836755438,0.06433823529411764,0.8949063821220052,0.11824324324324323,0.4535060975609756,10
