fold,fold_safe_name,genogroup,n_id,n_novel,k,auroc,bal_acc,bal_acc_threshold
11C,11C,11,54102,6,5,0.9143007652212488,0.9260193708180844,0.008400380611419678
11C,11C,11,54102,6,10,0.9122922134733157,0.9295774647887324,0.02827739715576172
11C,11C,11,54102,6,20,0.9207299791751384,0.9028686555025692,0.028277456760406494
11C,11C,11,54102,6,50,0.9285115768979582,0.871298658090274,0.24850142002105713
11C,11C,11,54102,6,100,0.9250890293642872,0.8613082695648959,0.08373880386352539
11C,11C,11,54102,6,200,0.9026222074353383,0.8533603193966952,0.28645819425582886
11C,11C,11,54102,6,500,0.8639052160733429,0.8331207718753466,0.337469220161438
11C,11C,11,54102,6,1000,0.794536246349488,0.8288972681231748,0.6017247438430786
11D,11D,11,54106,2,1,0.6375170960706762,0.7379310982146158,0.0906829833984375
11D,11D,11,54106,2,5,0.5845146564151851,0.7196983698665582,0.09522891044616699
11D,11D,11,54106,2,10,0.5656812553136435,0.7169629985583854,0.1529167890548706
11D,11D,11,54106,2,20,0.543548774627583,0.713081728458951,0.20826280117034912
11D,11D,11,54106,2,50,0.674837356300595,0.7203082837393264,0.00029402971267700195
11D,11D,11,54106,2,100,0.7694895205707315,0.8209255905075223,0.042121291160583496
11D,11D,11,54106,2,200,0.7084704099360515,0.765053783314235,0.04245603084564209
11D,11D,11,54106,2,500,0.6686411858204265,0.7600543377813921,0.13262927532196045
11D,11D,11,54106,2,1000,0.7631085277048756,0.8687391416848409,0.5319230556488037
11E,11E,11,54058,15,1,0.7959253641150864,0.8220929372155833,8.291006088256836e-05
11E,11E,11,54058,15,5,0.7605349809463908,0.7899133029955481,0.00011199712753295898
11E,11E,11,54058,15,10,0.7309636563197555,0.7539149308767127,0.00012493133544921875
11E,11E,11,54058,15,20,0.7026009101335603,0.7192299628793765,0.0001876354217529297
11E,11E,11,54058,15,50,0.7213770394761182,0.7142112792432819,0.04252767562866211
11E,11E,11,54058,15,100,0.7531885505691418,0.7703324823954518,0.046569883823394775
11E,11E,11,54058,15,200,0.6822807601711742,0.7112027821968996,0.08437329530715942
11E,11E,11,54058,15,500,0.6033957354446459,0.6950960079914166,0.0651853084564209
11E,11E,11,54058,15,1000,0.7946810216187552,0.8405521230283522,0.5315573215484619
12A,12A,12_44_46,54104,5,1,0.909078811178471,0.9237856720390359,0.0001093149185180664
12A,12A,12_44_46,54104,5,5,0.9030422889250331,0.9321491941446104,0.010155677795410156
12A,12A,12_44_46,54104,5,10,0.9048018630785155,0.9345704568978264,0.03431802988052368
12A,12A,12_44_46,54104,5,20,0.8843449652521069,0.9315669821085317,0.0720941424369812
12A,12A,12_44_46,54104,5,50,0.8341305633594558,0.8983993789738282,0.07528150081634521
12A,12A,12_44_46,54104,5,100,0.7732921780275025,0.8563045246192518,0.07532447576522827
12A,12A,12_44_46,54104,5,200,0.7395867218689931,0.8170375572970575,0.10410314798355103
12A,12A,12_44_46,54104,5,500,0.6795209226674552,0.7440854650303119,0.1142229437828064
12A,12A,12_44_46,54104,5,1000,0.5330622504805559,0.6788961999112819,0.1278325915336609
12B,12B,12_44_46,54088,13,1,0.5198039092988065,0.5910631392716144,0.02244490385055542
12B,12B,12_44_46,54088,13,5,0.7748213737157681,0.8035644192370268,8.511543273925781e-05
