fold,genogroup,n_novel,best_k,best_auroc,auroc_at_reference_k,reference_k,delta_vs_reference,best_bal_acc,best_bal_acc_k,best_bal_acc_threshold,deploy_k,deploy_threshold_percentile,deploy_threshold,deploy_tpr,deploy_tnr,deploy_bal_acc
5,5,43,1,0.985240978423846,0.9605051291183544,50,0.024735849305491553,0.9884949896010589,1,0.10533183813095093,5,99.0,0.3277897536754608,0.046511627906976744,0.9899981092834185,0.5182548685951976
48,48,12,1,0.990101816926756,0.9655181446145502,50,0.024583672312205818,0.988406922564899,1,0.09431415796279907,5,99.0,0.3312743902206421,0.6666666666666666,0.9900155313956068,0.8283410990311367
11C,11,6,1,0.9528883713479477,0.9285115768979582,50,0.024376794449989525,0.9586059665077077,1,0.003743469715118408,5,99.0,0.3216279447078705,0.0,0.9899818860670585,0.49499094303352925
17F,17F,50,5,0.9877536353938576,0.9671697265734658,50,0.02058390882039185,0.9760073362903074,5,0.14029306173324585,5,99.0,0.320023775100708,0.72,0.9900061759586772,0.8550030879793387
15B,15,32,100,0.826710010873808,0.806791250766743,50,0.01991876010706506,0.8361772523652856,1000,0.4715639352798462,5,99.0,0.32207316160202026,0.0,0.9899998141229391,0.49499990706146957
34,34,41,5,0.9890348336937616,0.9704666990763248,50,0.018568134617436782,0.9754870797651547,5,0.1280919313430786,5,99.0,0.3218991756439209,0.6829268292682927,0.9899966343816611,0.836461731824977
19F,19F,80,5,0.9764496909140392,0.9578938416080246,50,0.018555849306014616,0.9314460946308464,5,0.03773993253707886,5,99.0,0.3149866759777069,0.425,0.9899887251662066,0.7074943625831033
12F,12_44_46,67,500,0.946054243326587,0.9275654559181619,50,0.01848878740842519,0.926717294314988,10,0.04184144735336304,5,99.0,0.3331563174724579,0.14925373134328357,0.9899923918768655,0.5696230616100746
6A,6,77,20,0.9213594367312807,0.903219602481067,50,0.018139834250213704,0.8854144748402492,20,0.10361254215240479,5,99.0,0.32061994075775146,0.22077922077922077,0.9900001908360527,0.6053897058076367
23F,23,48,5,0.9579226155396285,0.9404550293720652,50,0.017467586167563387,0.9225084044663283,1,0.02128314971923828,5,99.0,0.32028383016586304,0.3958333333333333,0.9900192011558716,0.6929262672446025
29,29,19,10,0.9752005188754583,0.9599809511937641,50,0.01521956768169419,0.9618088964547407,10,0.11282426118850708,5,99.0,0.31975921988487244,0.42105263157894735,0.9899896380726815,0.7055211348258144
27,27,19,10,0.9939889124935984,0.9812559998909552,50,0.012732912602643198,0.9932017462725221,10,0.3390856981277466,5,99.0,0.31636831164360046,0.9473684210526315,0.9899922305671686,0.9686803258099
7C,7B_7C_40,39,5,0.9732634726086182,0.9616375292465625,50,0.01162594336205569,0.9433562988112354,1,0.013516724109649658,5,99.0,0.3247073292732239,0.41025641025641024,0.9900087937583026,0.7001326020073564
28F,28,18,100,0.9432139655753748,0.9344546418967261,50,0.008759323678648734,0.932652612274772,1,0.004608571529388428,5,99.0,0.3221393823623657,0.1111111111111111,0.9899896380726815,0.5505503745918963
35A,35A_35C_42,12,1,0.9809749068108319,0.9726418820509022,50,0.008333024759929697,0.9785510627268015,1,0.027419328689575195,5,99.0,0.31157493591308594,0.16666666666666666,0.9899837073242983,0.5783251869954825
